abn,cn,agency,category,period,value
86611502713,CN3717367,Department of Defence,Building construction and support and maintenance and repair services,8-Nov-2019 to 26-May-2022,"$11,309,053.66"
86611502713,CN3717367,Department of Defence,Building construction and support and maintenance and repair services,19-Dec-2019 to 26-May-2022,"$1,080,533.84"
86611502713,CN3717367,Department of Defence,Building construction and support and maintenance and repair services,27-Aug-2018 to 26-May-2022,"$3,820,222.62"
86611502713,CN3717367,Department of Defence,Building construction and support and maintenance and repair services,10-Jan-2019 to 26-May-2022,"$2,677,638.70"
86611502713,CN3717367,Department of Defence,Building construction and support and maintenance and repair services,14-Sep-2020 to 26-May-2022,"$2,606,516.00"
86611502713,CN3717367,Department of Defence,Building construction and support and maintenance and repair services,9-Sep-2020 to 26-May-2022,"$2,186,866.00"
86611502713,CN3717367,Department of Defence,Electrical services,1-Sep-2020 to 26-May-2022,"$622,798.00"
86611502713,CN3717367,Department of Defence,Building construction and support and maintenance and repair services,6-Jan-2020 to 26-May-2022,"$1,169,517.54"
86611502713,CN3717367,Department of Defence,Building construction and support and maintenance and repair services,15-Jan-2020 to 26-May-2022,"$1,447,488.50"
86611502713,CN3717367,Department of Defence,Building construction and support and maintenance and repair services,6-Jan-2020 to 25-May-2021,"$977,268.38"
86611502713,CN3717367,Department of Defence,Building construction and support and maintenance and repair services,11-Dec-2019 to 26-May-2021,"$2,058,134.10"
86611502713,CN3717367,Department of Defence,Building construction and support and maintenance and repair services,3-Feb-2020 to 26-May-2020,"$2,269,531.00"
86611502713,CN3717367,"Department of Agriculture, Water and the Environment",General building construction,13-Jan-2020 to 30-Jun-2021,"$499,092.00"
86611502713,CN3717367,Department of Defence,Building construction and support and maintenance and repair services,23-Oct-2018 to 28-May-2019,"$165,561.00"
86611502713,CN3717367,Department of Defence,Building construction and support and maintenance and repair services,20-Nov-2018 to 26-May-2020,"$652,584.03"
86611502713,CN3717367,"Department of Agriculture, Water and the Environment",General building construction,18-Sep-2018 to 30-Nov-2018,"$305,080.16"
86611502713,CN3717367,Department of Defence,Water and sewer utilities,16-Mar-2018 to 28-May-2019,"$2,493,166.23"
86611502713,CN3717367,Department of Defence,Building construction and support and maintenance and repair services,23-Feb-2018 to 31-May-2019,"$651,369.63"
86611502713,CN3717367,Department of Defence,Building construction and support and maintenance and repair services,3-May-2018 to 28-May-2019,"$1,321,867.80"
86611502713,CN3717367,Department of Defence,Building construction and support and maintenance and repair services,16-Aug-2018 to 28-May-2019,"$3,186,744.00"
23611925725,CN3717367,Department of Defence,Cleaning and janitorial services,1-Jul-2020 to 30-Nov-2020,"$45,000.00"
97604704065,CN3717367,Department of Defence,Furniture,29-May-2020 to 30-Jun-2021,"$38,387.01"
97604704065,CN3717367,Department of Defence,Furniture,29-May-2020 to 30-Jun-2021,"$13,503.77"
97604704065,CN3717367,Department of Defence,Furniture,29-May-2020 to 30-Jun-2021,"$18,132.40"
97604704065,CN3717367,Department of Defence,Furniture,29-May-2020 to 30-Jun-2021,"$30,712.00"
97604704065,CN3717367,Department of Defence,Furniture,16-May-2020 to 28-May-2020,"$10,782.18"
97604704065,CN3717367,Department of Defence,Furniture,1-Jul-2020 to 30-Jun-2021,"$1,500,000.00"
97604704065,CN3717367,Department of Defence,Furniture,2-Jun-2020 to 28-May-2021,"$12,490.50"
97604704065,CN3717367,Department of Defence,Furniture,28-May-2020 to 28-May-2021,"$12,999.11"
97604704065,CN3717367,Department of Defence,Furniture,1-Jun-2020 to 28-May-2021,"$19,400.08"
97604704065,CN3717367,Department of Defence,Furniture,15-Jun-2020 to 17-Jul-2020,"$24,640.00"
97604704065,CN3717367,Department of Defence,Furniture,13-May-2020 to 19-Jun-2020,"$11,674.66"
97604704065,CN3717367,Department of Defence,Furniture,28-May-2020 to 28-May-2021,"$12,538.59"
97604704065,CN3717367,Department of Defence,Furniture,19-Jun-2020 to 17-Jul-2020,"$26,857.07"
97604704065,CN3717367,Department of Defence,Furniture,28-May-2020 to 28-May-2021,"$15,490.26"
97604704065,CN3717367,Department of Defence,Furniture,3-Jul-2020 to 28-May-2021,"$12,323.30"
97604704065,CN3717367,Department of Defence,Furniture,30-Mar-2020 to 30-Apr-2020,"$14,423.20"
97604704065,CN3717367,Department of Defence,Furniture,11-May-2020 to 28-May-2020,"$15,371.72"
97604704065,CN3717367,Department of Defence,Furniture,7-May-2020 to 29-May-2020,"$14,270.08"
97604704065,CN3717367,Department of Defence,Furniture,11-May-2020 to 28-Jun-2020,"$41,012.40"
97604704065,CN3717367,Department of Defence,Furniture,11-May-2020 to 28-May-2020,"$39,796.35"
97604704065,CN3717367,Department of Defence,Furniture,10-May-2020 to 30-Jun-2020,"$17,114.54"
97604704065,CN3717367,Department of Defence,Furniture,30-Apr-2020 to 29-May-2020,"$59,348.38"
97604704065,CN3717367,Department of Defence,Furniture,11-May-2020 to 30-Jun-2020,"$16,710.17"
97604704065,CN3717367,Department of Defence,Furniture,8-Apr-2020 to 7-May-2020,"$11,259.16"
97604704065,CN3717367,Department of Defence,Furniture,18-May-2020 to 11-Jun-2020,"$28,991.85"
97604704065,CN3717367,Department of Defence,Furniture,26-Jun-2020 to 28-May-2021,"$13,017.62"
97604704065,CN3717367,Department of Defence,Furniture,26-Jun-2020 to 28-May-2021,"$57,868.21"
97604704065,CN3717367,Department of Defence,Furniture,27-May-2020 to 3-Jul-2020,"$199,411.39"
97604704065,CN3717367,Department of Defence,Furniture,4-May-2020 to 5-Jun-2020,"$12,999.13"
97604704065,CN3717367,Department of Defence,Furniture,19-May-2020 to 30-Jun-2020,"$14,204.30"
97604704065,CN3717367,Department of Defence,Furniture,20-Apr-2020 to 28-May-2020,"$13,451.72"
97604704065,CN3717367,Department of Defence,Furniture,29-Apr-2020 to 28-May-2020,"$14,825.05"
97604704065,CN3717367,Department of Defence,Furniture,2-Apr-2020 to 1-May-2020,"$11,259.16"
97604704065,CN3717367,Department of Defence,Furniture,15-Apr-2020 to 20-May-2020,"$24,640.00"
97604704065,CN3717367,Department of Defence,Furniture,16-Apr-2020 to 28-May-2020,"$16,301.45"
97604704065,CN3717367,Department of Defence,Furniture,6-Mar-2020 to 23-Apr-2020,"$15,490.26"
97604704065,CN3717367,Department of Defence,Furniture,13-Feb-2020 to 28-May-2020,"$11,784.87"
97604704065,CN3717367,Department of Defence,Furniture,19-Mar-2020 to 28-May-2020,"$14,018.40"
97604704065,CN3717367,Department of Defence,Furniture,10-Mar-2020 to 28-May-2020,"$27,208.50"
97604704065,CN3717367,Department of Defence,Office furniture,28-Feb-2020 to 29-May-2020,"$13,916.10"
97604704065,CN3717367,Department of Defence,Furniture,17-Feb-2020 to 28-May-2020,"$40,024.99"
97604704065,CN3717367,Department of Defence,Furniture,4-Feb-2020 to 28-May-2020,"$10,010.00"
97604704065,CN3717367,Department of Defence,Furniture,11-Nov-2019 to 28-May-2021,"$132,891.00"
97604704065,CN3717367,Department of Defence,Furniture,1-Nov-2019 to 28-May-2020,"$12,424.50"
97604704065,CN3717367,Department of Defence,Furniture,11-Oct-2019 to 29-Nov-2019,"$11,741.27"
97604704065,CN3717367,Australian Taxation Office,Office furniture,20-Sep-2019 to 23-Dec-2019,"$10,648.00"
97604704065,CN3717367,Department of Defence,Furniture,19-Sep-2019 to 28-May-2020,"$18,459.12"
97604704065,CN3717367,Department of Defence,Furniture,20-Sep-2019 to 28-May-2020,"$12,315.25"
97604704065,CN3717367,Department of Defence,Furniture,16-Sep-2019 to 28-May-2020,"$43,312.50"
97604704065,CN3717367,Department of Defence,Furniture,10-Sep-2019 to 29-Oct-2019,"$20,175.90"
97604704065,CN3717367,Department of Defence,Furniture,20-Aug-2019 to 28-May-2020,"$38,497.75"
97604704065,CN3717367,Department of Defence,Furniture,2-Sep-2019 to 28-May-2020,"$10,828.38"
97604704065,CN3717367,Department of Defence,Furniture,1-Jul-2019 to 30-Sep-2019,"$10,151.04"
97604704065,CN3717367,Department of Defence,Furniture,29-Jul-2019 to 28-May-2020,"$11,891.00"
97604704065,CN3717367,Department of Defence,Furniture,30-Jul-2019 to 28-May-2020,"$14,506.62"
97604704065,CN3717367,Department of Defence,Furniture,19-Jul-2019 to 28-May-2020,"$12,606.00"
97604704065,CN3717367,Department of Defence,Furniture,10-Jul-2019 to 27-Sep-2019,"$20,182.38"
97604704065,CN3717367,Department of Defence,Furniture,1-Jul-2019 to 30-Aug-2019,"$15,372.85"
97604704065,CN3717367,Department of Defence,Furniture,14-May-2019 to 20-Jun-2019,"$13,388.10"
97604704065,CN3717367,Department of Defence,Furniture,15-May-2019 to 31-May-2019,"$26,324.03"
97604704065,CN3717367,Department of Defence,Furniture,14-May-2019 to 30-May-2019,"$29,426.32"
97604704065,CN3717367,Department of Defence,Furniture,10-May-2019 to 30-May-2019,"$18,427.73"
97604704065,CN3717367,Department of Defence,Furniture,13-May-2019 to 28-May-2019,"$18,658.20"
97604704065,CN3717367,Department of Defence,Furniture,3-May-2019 to 30-May-2019,"$14,423.20"
97604704065,CN3717367,Department of Defence,Furniture,23-Apr-2019 to 28-May-2019,"$17,072.00"
97604704065,CN3717367,Department of Defence,Furniture,29-Apr-2019 to 28-May-2019,"$29,237.12"
97604704065,CN3717367,Department of Defence,Furniture,4-Apr-2019 to 28-May-2019,"$16,698.00"
97604704065,CN3717367,Department of Defence,Furniture,25-Mar-2019 to 28-May-2019,"$22,463.19"
97604704065,CN3717367,Department of Defence,Office furniture,26-Mar-2019 to 28-May-2019,"$20,145.14"
97604704065,CN3717367,Department of Defence,Office furniture,13-Mar-2019 to 28-May-2019,"$26,317.50"
97604704065,CN3717367,Services Australia,Office and desk accessories,29-Mar-2019 to 30-Apr-2019,"$13,244.00"
97604704065,CN3717367,Department of Defence,Furniture,27-Feb-2019 to 28-May-2019,"$19,948.28"
97604704065,CN3717367,Department of Defence,Furniture,1-Feb-2019 to 31-May-2019,"$17,522.82"
97604704065,CN3717367,Department of Defence,Furniture,19-Feb-2019 to 31-May-2019,"$18,389.80"
97604704065,CN3717367,Services Australia,Office and desk accessories,8-Feb-2019 to 10-Feb-2019,"$20,441.30"
97604704065,CN3717367,Services Australia,Office and desk accessories,1-Mar-2019 to 1-Apr-2019,"$24,618.00"
97604704065,CN3717367,Department of Defence,Furniture,17-Jan-2019 to 28-Feb-2019,"$10,667.67"
97604704065,CN3717367,Department of Defence,Furniture,29-Jan-2019 to 31-May-2019,"$13,563.62"
97604704065,CN3717367,Department of Defence,Furniture,10-Jan-2019 to 31-May-2019,"$11,509.96"
97604704065,CN3717367,Department of Defence,Furniture,11-Dec-2018 to 21-Jan-2019,"$16,556.98"
97604704065,CN3717367,Department of Defence,Furniture,20-Nov-2018 to 30-Jun-2019,"$36,154.61"
97604704065,CN3717367,Department of Defence,Office and desk accessories,11-Nov-2018 to 21-Dec-2018,"$16,015.34"
97604704065,CN3717367,Department of Defence,Furniture,6-Nov-2018 to 31-Jan-2019,"$11,457.02"
97604704065,CN3717367,Department of Defence,Furniture,13-Nov-2018 to 31-May-2019,"$68,217.60"
97604704065,CN3717367,Services Australia,Office and desk accessories,22-Nov-2018 to 30-Jun-2019,"$33,848.10"
97604704065,CN3717367,Department of Defence,Furniture,8-Oct-2018 to 30-Jun-2019,"$17,322.62"
97604704065,CN3717367,Services Australia,Office and desk accessories,15-Oct-2018 to 30-Jun-2019,"$501,700.10"
97604704065,CN3717367,Department of Defence,Furniture,28-Sep-2018 to 1-Nov-2018,"$11,113.35"
97604704065,CN3717367,Department of Defence,Office furniture,1-Oct-2018 to 1-Nov-2018,"$11,113.35"
97604704065,CN3717367,Department of Defence,Furniture,3-Oct-2018 to 31-May-2019,"$15,140.40"
97604704065,CN3717367,Department of Defence,Furniture,13-Sep-2018 to 13-Nov-2018,"$55,737.00"
97604704065,CN3717367,Department of Defence,Office furniture,4-Sep-2018 to 4-Oct-2018,"$12,011.38"
97604704065,CN3717367,Department of Defence,Furniture,31-Aug-2018 to 31-May-2019,"$104,962.01"
97604704065,CN3717367,Department of Defence,Furniture,16-Aug-2018 to 23-Oct-2018,"$18,249.00"
97604704065,CN3717367,Department of Defence,Office furniture,1-May-2018 to 31-Aug-2018,"$34,617.00"
97604704065,CN3717367,Department of Defence,Furniture,29-Jun-2018 to 3-Aug-2018,"$33,106.06"
97604704065,CN3717367,"Department of Education, Skills and Employment",Office furniture,7-Jun-2018 to 30-Jun-2018,"$16,871.80"
97604704065,CN3717367,Department of Defence,Furniture,5-Jun-2018 to 31-Jul-2018,"$13,328.19"
97604704065,CN3717367,Department of Defence,Furniture,23-May-2018 to 30-May-2019,"$10,489.47"
97604704065,CN3717367,Department of Defence,Office furniture,3-May-2018 to 29-Jun-2018,"$10,477.50"
97604704065,CN3717367,Department of Defence,Office furniture,4-May-2018 to 30-Jun-2018,"$20,614.00"
97604704065,CN3717367,Department of Defence,Furniture,1-May-2018 to 31-May-2018,"$15,033.70"
97604704065,CN3717367,Department of Defence,Office furniture,27-Apr-2018 to 29-Jun-2018,"$29,733.31"
97604704065,CN3717367,Department of Defence,Office furniture,24-Apr-2018 to 29-Jun-2018,"$22,339.90"
97604704065,CN3717367,Department of Defence,Furniture,12-Apr-2018 to 30-Apr-2018,"$13,200.00"
97604704065,CN3717367,Department of Defence,Office furniture,20-Apr-2018 to 1-Jun-2018,"$13,623.50"
97604704065,CN3717367,Department of Defence,Furniture,18-Apr-2018 to 31-May-2018,"$11,894.30"
97604704065,CN3717367,Department of Defence,Furniture,18-Apr-2018 to 31-May-2018,"$41,911.10"
97604704065,CN3717367,Department of Defence,Office furniture,12-Apr-2018 to 30-Jun-2018,"$27,305.52"
97604704065,CN3717367,Department of Defence,Furniture,4-Apr-2018 to 4-May-2018,"$14,934.11"
97604704065,CN3717367,Department of Defence,Furniture,28-Mar-2018 to 30-Jun-2018,"$49,075.95"
97604704065,CN3717367,Department of Defence,Furniture,28-Mar-2018 to 29-Jun-2018,"$31,520.50"
97604704065,CN3717367,Department of Defence,Workstations and office packages,9-Mar-2018 to 31-May-2018,"$42,649.60"
97604704065,CN3717367,Department of Defence,Office furniture,11-Dec-2017 to 31-Jan-2018,"$15,577.36"
97604704065,CN3717367,Geoscience Australia,Furniture,30-Oct-2017 to 13-Nov-2017,"$15,246.00"
97604704065,CN3717367,Department of Defence,Furniture,24-Oct-2017 to 31-May-2018,"$36,359.77"
97604704065,CN3717367,Department of Defence,Furniture,18-Oct-2017 to 31-May-2018,"$12,445.40"
97604704065,CN3717367,Department of Defence,Furniture,18-Oct-2017 to 31-May-2018,"$42,820.25"
97604704065,CN3717367,Department of Defence,Furniture,19-Oct-2017 to 31-May-2018,"$12,525.57"
97604704065,CN3717367,Department of Defence,Furniture,13-Oct-2017 to 31-May-2018,"$16,006.10"
97604704065,CN3717367,Department of Defence,Furniture,16-Oct-2017 to 31-May-2018,"$45,349.22"
97604704065,CN3717367,Department of the Prime Minister and Cabinet,Office furniture,23-Oct-2017 to 28-Feb-2018,"$10,340.00"
97604704065,CN3717367,Department of Defence,Furniture,10-Aug-2017 to 31-May-2018,"$12,495.32"
97604704065,CN3717367,Department of Defence,Furniture,4-Aug-2017 to 31-May-2018,"$24,496.68"
97604704065,CN3717367,Department of Defence,Furniture,3-Aug-2017 to 31-May-2018,"$14,641.00"
97604704065,CN3717367,Department of Defence,Furniture,26-Jul-2017 to 30-Jun-2018,"$67,742.40"
97604704065,CN3717367,Department of Defence,Furniture,26-Jul-2017 to 30-Jun-2018,"$10,032.00"
97604704065,CN3717367,Department of Defence,Furniture,26-Jul-2017 to 30-Jun-2018,"$38,406.50"
97604704065,CN3717367,Department of Defence,Furniture,24-Jul-2017 to 30-Jun-2018,"$32,503.52"
97604704065,CN3717367,Department of Defence,Furniture,24-Jul-2017 to 30-Jun-2018,"$11,589.40"
97604704065,CN3717367,Department of Defence,Furniture,13-Jul-2017 to 30-Jun-2018,"$51,953.00"
