abn,cn,agency,category,period,value
86611502713,CN3642373-A4,Department of Defence,Building construction and support and maintenance and repair services,8-Nov-2019 to 26-May-2022,"$11,309,053.66"
86611502713,CN3651064-A1,Department of Defence,Building construction and support and maintenance and repair services,19-Dec-2019 to 26-May-2022,"$1,080,533.84"
86611502713,CN3539285-A4,Department of Defence,Building construction and support and maintenance and repair services,27-Aug-2018 to 26-May-2022,"$3,820,222.62"
86611502713,CN3565166-A2,Department of Defence,Building construction and support and maintenance and repair services,10-Jan-2019 to 26-May-2022,"$2,677,638.70"
86611502713,CN3717367,Department of Defence,Building construction and support and maintenance and repair services,14-Sep-2020 to 26-May-2022,"$2,606,516.00"
86611502713,CN3716407,Department of Defence,Building construction and support and maintenance and repair services,9-Sep-2020 to 26-May-2022,"$2,186,866.00"
86611502713,CN3714735,Department of Defence,Electrical services,1-Sep-2020 to 26-May-2022,"$622,798.00"
86611502713,CN3652367-A2,Department of Defence,Building construction and support and maintenance and repair services,6-Jan-2020 to 26-May-2022,"$1,169,517.54"
86611502713,CN3653809-A2,Department of Defence,Building construction and support and maintenance and repair services,15-Jan-2020 to 26-May-2022,"$1,447,488.50"
86611502713,CN3652381-A1,Department of Defence,Building construction and support and maintenance and repair services,6-Jan-2020 to 25-May-2021,"$977,268.38"
86611502713,CN3647111-A1,Department of Defence,Building construction and support and maintenance and repair services,11-Dec-2019 to 26-May-2021,"$2,058,134.10"
86611502713,CN3657897,Department of Defence,Building construction and support and maintenance and repair services,3-Feb-2020 to 26-May-2020,"$2,269,531.00"
86611502713,CN3653111,"Department of Agriculture, Water and the Environment",General building construction,13-Jan-2020 to 30-Jun-2021,"$499,092.00"
86611502713,CN3555105-A1,Department of Defence,Building construction and support and maintenance and repair services,23-Oct-2018 to 28-May-2019,"$165,561.00"
86611502713,CN3559066-A1,Department of Defence,Building construction and support and maintenance and repair services,20-Nov-2018 to 26-May-2020,"$652,584.03"
86611502713,CN3547708-A1,"Department of Agriculture, Water and the Environment",General building construction,18-Sep-2018 to 30-Nov-2018,"$305,080.16"
86611502713,CN3501171-A1,Department of Defence,Water and sewer utilities,16-Mar-2018 to 28-May-2019,"$2,493,166.23"
86611502713,CN3499574-A1,Department of Defence,Building construction and support and maintenance and repair services,23-Feb-2018 to 31-May-2019,"$651,369.63"
86611502713,CN3505090-A2,Department of Defence,Building construction and support and maintenance and repair services,3-May-2018 to 28-May-2019,"$1,321,867.80"
86611502713,CN3535004,Department of Defence,Building construction and support and maintenance and repair services,16-Aug-2018 to 28-May-2019,"$3,186,744.00"
